index,周次,星期,角色,模块,模块形成任务,主日统领主题,本日主题,经文出处,每日门训正文,和合本经文全文,门训步骤,思考入口,思考引导,生活导向,经文关键词（候选）,选择区目标,今日操练,七日总结/宣告,内容状态,备注
10,2,周三,生活应用,模块1｜认识基督,建立对基督、福音与身份的基本认识,恩典没有围墙,周三应用,路10：25-37,今天让“知道”变成“去做”。读 路加福音 10:25-37，思考“从好撒玛利亚人的行动看见怜悯不是停在心里”在你的现实处境中最小的下一步是什么。把行动限定在十分钟左右，越具体越好。做完后记下一句话：我做了什么？有什么阻力？主让我看见什么？,,回应,先找一个今天能做的地方,从好撒玛利亚人的行动看见怜悯不是停在心里,先靠近，再帮助,怜悯｜邻舍｜行动,沿用现有选择区逻辑,我决定今天对______显出恩典,,已校准｜需最终经文逐字核验,保留原表经文；本轮完成语言与门训结构校准
11,2,周四,关系实践,模块1｜认识基督,建立对基督、福音与身份的基本认识,恩典没有围墙,周四关系,得1：15-18,今天观察自己怎样对待别人，也让经文重新整理这种关系。读 路得记 1:15-18，围绕“从路得的选择看见跨越身份与关系的忠诚”作一个具体决定。找一个人，主动走近一步；可以是一句话、一次倾听、一次帮助或一次代祷。真实关系中的小小顺服，就是门徒训练的一部分。,,忠心,先放进一个真实关系,从路得的选择看见跨越身份与关系的忠诚,在一个真实关系中少一点界线，多一点忠诚,跟随｜离开｜同归,沿用现有选择区逻辑,我决定主动靠近______,,已校准｜需最终经文逐字核验,保留原表经文；本轮完成语言与门训结构校准
12,2,周五,行动承诺,模块1｜认识基督,建立对基督、福音与身份的基本认识,恩典没有围墙,周五行动,太5：43-48,今天来到回应与承担。读 马太福音 5:43-48，问自己：从爱仇敌进入具体善行。把信仰从个人感受带向一个具体的人、一项责任或一个见证行动。不要追求被看见，只求忠心。完成之后写下发生了什么，让你自己的行动成为一个可以被回顾、也可以被分享的见证。,,行动,先确定今天要走的一步,从爱仇敌进入具体善行,把“不可爱的人”变成今天的一个行动对象,爱｜仇敌｜完全,沿用现有选择区逻辑,我决定今天为______做一件善事,,已校准｜需最终经文逐字核验,保留原表经文；本轮完成语言与门训结构校准
13,2,周六,轻回顾,模块1｜认识基督,建立对基督、福音与身份的基本认识,恩典没有围墙,回顾本周：恩典没有围墙,诗23：1-6,读 诗篇 23:1-6，安静回看这七天的经历：哪些地方有顺服，哪些地方仍在挣扎，哪里看见神的带领？特别思考“确认一个变化，也确定下一步”。今天把本周浓缩成“一个看见、一个行动、一个下一步”，让回顾成为继续跟随的桥梁。,,回顾,回头看这一周,确认一个变化，也确定下一步,把这一周的发现带回生活,回顾｜本周变化｜下一步,根据本周选择生成总结,选定下一步,根据Day 1–6选择生成“一句方向＋一句鼓励”,已校准｜总结规则待程序实现,保留原表经文；本轮完成语言与门训结构校准
14,3,主日,主日信息入口,模块1｜认识基督,建立对基督、福音与身份的基本认识,放下网，跟随祂,放下网，跟随祂,路5：1-11,今天把经文放在心里，也把自己放在经文面前。读 路加福音 5:1-11，围绕“放下网，跟随祂”安静片刻，思想：抓住“网”进入本周。主日不是结束，而是进入本周门训的起点。今天选定一个具体场景，提醒自己在这一周继续回来面对这个主题。,,进入,从主日信息进入本周,抓住“网”进入本周,听见耶稣的呼召，就放下拦阻，走上跟随的路。,网｜跟从｜撇下,选定本周一个要活出来的方向,完成一个本周个人回应,根据Day 1–6选择生成“一句方向＋一句鼓励”,已校准｜需最终经文逐字核验,保留原表经文；本轮完成语言与门训结构校准
15,3,周一,拓宽眼界,模块1｜认识基督,建立对基督、福音与身份的基本认识,放下网，跟随祂,周一默想,赛6：1-8,今天先学习看见。读 以赛亚书 6:1-8，不要急着批评或解决问题，留意经文让你看见什么：从以赛亚的“我在这里”看见呼召需要回应。再回到自己的生活，观察一个真实反应、选择或习惯。门徒不是先表现得正确，而是先在神的光中看清楚自己。把今天看见的一件事记下来，作为后面回应的起点。,,回应,先看见经文中的人和行动,从以赛亚的“我在这里”看见呼召需要回应,不要先计算自己够不够，先回应主,我在这里｜差遣｜洁净,沿用现有选择区逻辑,我决定今天以______的态度面对呼召,,已校准｜需最终经文逐字核验,保留原表经文；本轮完成语言与门训结构校准
16,3,周二,深入省察,模块1｜认识基督,建立对基督、福音与身份的基本认识,放下网，跟随祂,周二省察,太19：16-30,今天给自己几分钟安静。读 马太福音 19:16-30，把经文所揭开的张力带回心里：从少年人的选择看见什么正在抓住自己。问自己，我在什么地方正在重复同样的模式？不必马上找到解决方案，只需要说真话，并用一句简单的祷告把这份真实交给主。,,放下,先看见自己的真实反应,从少年人的选择看见什么正在抓住自己,辨认最难放下的一件事,永生｜跟从｜撇下,沿用现有选择区逻辑,我决定今天放下______,,已校准｜需最终经文逐字核验,保留原表经文；本轮完成语言与门训结构校准
17,3,周三,生活应用,模块1｜认识基督,建立对基督、福音与身份的基本认识,放下网，跟随祂,周三应用,可1：16-20,不要等到条件完美才回应经文。读 马可福音 1:16-20，找出一个可以立即开始的动作，回应“从门徒立即撇下网进入具体行动”。今天只走一步，但要真的走。行动之后，用一分钟回顾结果，让经验成为下一次跟随的依据。,,行动,先找一个今天能做的地方,从门徒立即撇下网进入具体行动,减少拖延，先走一步,来跟从我｜撇下｜跟从,沿用现有选择区逻辑,我决定今天在______上立刻行动,,已校准｜需最终经文逐字核验,保留原表经文；本轮完成语言与门训结构校准
18,3,周四,关系实践,模块1｜认识基督,建立对基督、福音与身份的基本认识,放下网，跟随祂,周四关系,路5：27-32,今天把跟随带进一个人的名字。读 路加福音 5:27-32，思想：从利未蒙召看见跟随也改变我们接近的人。想起一段真实关系，不停留在“我要更有爱心”的想法，而是决定一个看得见的动作：认真倾听、主动帮助、道歉、感谢、分享或代祷。让今天的经文通过你的关系被活出来。,,靠近,先放进一个真实关系,从利未蒙召看见跟随也改变我们接近的人,不要只选择容易相处的人,跟从｜罪人｜医生,沿用现有选择区逻辑,我决定今天主动走近______,,已校准｜需最终经文逐字核验,保留原表经文；本轮完成语言与门训结构校准
19,3,周五,行动承诺,模块1｜认识基督,建立对基督、福音与身份的基本认识,放下网，跟随祂,周五行动,约21：15-19,今天的重点不是再多懂一点，而是愿意承担一步。读 约翰福音 21:15-19，把“从彼得重新被托付看见爱主需要行动”落实到现实生活。可以是一次服事、一次给予、一次修复关系、一次见证或一次责任。先忠心完成今天能做的，然后在神面前感谢祂的带领。,,忠心,先确定今天要走的一步,从彼得重新被托付看见爱主需要行动,用一个具体服事回应对主的爱,爱｜喂养｜跟从,沿用现有选择区逻辑,我决定今天用______表达我的爱,,已校准｜需最终经文逐字核验,保留原表经文；本轮完成语言与门训结构校准
20,3,周六,轻回顾,模块1｜认识基督,建立对基督、福音与身份的基本认识,放下网，跟随祂,回顾本周：放下网，跟随祂,诗23：1-6,回顾不是给自己打分，而是辨认神怎样工作。今天读 诗篇 23:1-6，整理你这一周在“确认一个变化，也确定下一步”上的经历。感谢已经发生的，也承认还没有改变的。最后写下一句本周总结，并确定一个可以带进下一周的小小行动。,,回顾,回头看这一周,确认一个变化，也确定下一步,把这一周的发现带回生活,回顾｜本周变化｜下一步,根据本周选择生成总结,选定下一步,根据Day 1–6选择生成“一句方向＋一句鼓励”,已校准｜总结规则待程序实现,保留原表经文；本轮完成语言与门训结构校准
21,4,主日,主日信息入口,模块1｜认识基督,建立对基督、福音与身份的基本认识,跟随，就走近人,跟随，就走近人,路5：27-32,今天先慢下来。读 路加福音 5:27-32，让“跟随，就走近人”成为这一周共同的入口。不要急着把主日信息变成更多知识，先问：抓住“跟随”进入本周。把这个问题放进你真实的生活，找出一个本周愿意跟随主的场景。主日的领受要进入一周的生活，才会成为门徒的道路。,,进入,从主日信息进入本周,抓住“跟随”进入本周,跟随耶稣，不只是听见祂，也走近祂所看见的人。,跟随｜罪人｜医生,选定本周一个要活出来的方向,完成一个本周个人回应,根据Day 1–6选择生成“一句方向＋一句鼓励”,已校准｜需最终经文逐字核验,保留原表经文；本轮完成语言与门训结构校准
22,4,周一,拓宽眼界,模块1｜认识基督,建立对基督、福音与身份的基本认识,跟随，就走近人,周一默想,太9：9-13,读 马太福音 9:9-13 时，先把注意力放在经文的人、行动和张力上。今天特别思想：从耶稣看见马太，学习先看见人。然后问自己，这件事在我的生活里有没有类似的位置？不要急着改变，先诚实记录一次。能够看见，是让神的话从纸面进入生命的第一步。,,看见,先看见经文中的人和行动,从耶稣看见马太，学习先看见人,今天先看人，不先给人贴标签,看见｜呼召｜跟从,沿用现有选择区逻辑,我决定今天以______的眼光看人,,已校准｜需最终经文逐字核验,保留原表经文；本轮完成语言与门训结构校准
23,4,周二,深入省察,模块1｜认识基督,建立对基督、福音与身份的基本认识,跟随，就走近人,周二省察,路19：1-10,门徒训练不仅改变行为，也改变里面的动机。读 路加福音 19:1-10，认真面对“从撒该看见阻挡人靠近耶稣的东西”。当你察觉到防卫、焦虑、比较或自我保护时，不要赶快掩盖。把那个最真实的反应写下来，求主带你从看见走向悔改与信靠。,,省察,先看见自己的真实反应,从撒该看见阻挡人靠近耶稣的东西,辨认自己里面的拦阻,寻找｜悔改｜救恩,沿用现有选择区逻辑,我决定今天放下______,,已校准｜需最终经文逐字核验,保留原表经文；本轮完成语言与门训结构校准
24,4,周三,生活应用,模块1｜认识基督,建立对基督、福音与身份的基本认识,跟随，就走近人,周三应用,雅1：27,今天把经文缩小成一个选择。读 雅各书 1:27，问自己：从真实的敬虔进入照顾孤儿寡妇和保持自己清洁。不要设计一个很大的计划，只找一个今天能完成的小行动。门徒的成长常常发生在普通时间、普通决定和普通责任里。选定时间点去做，完成后再回看它带来了什么改变。,,行动,先找一个今天能做的地方,从真实的敬虔进入照顾孤儿寡妇和保持自己清洁,选一个具体需要，不停留在感动,清洁｜孤儿｜寡妇,沿用现有选择区逻辑,我决定今天在______上行动,,已校准｜需最终经文逐字核验,保留原表经文；本轮完成语言与门训结构校准
25,4,周四,关系实践,模块1｜认识基督,建立对基督、福音与身份的基本认识,跟随，就走近人,周四关系,来13：1-3,门徒生命一定会影响人与人的相处。读 希伯来书 13:1-3，问自己：从接待客旅进入真实关系。选一个具体的人，少一点自我证明，多一点靠近与承担。你今天不需要解决这段关系的全部问题，只需要完成一个真实而善意的动作，并留意自己的心发生了什么。,,关系,先放进一个真实关系,从接待客旅进入真实关系,给一个人一个被接纳的空间,爱弟兄｜接待｜客旅,沿用现有选择区逻辑,我决定今天主动走近______,,已校准｜需最终经文逐字核验,保留原表经文；本轮完成语言与门训结构校准
26,4,周五,行动承诺,模块1｜认识基督,建立对基督、福音与身份的基本认识,跟随，就走近人,周五行动,约一3：16-18,回应就是把领受交在行动里。读 约翰一书 3:16-18，思想“从“为弟兄舍命”进入实际的爱”对今天意味着什么。选择一个具体行动，并为它安排明确的时间。做完不要急着评估自己，而是回头看：我是否更愿意跟随？神又让我看见了什么？,,实践,先确定今天要走的一步,从“为弟兄舍命”进入实际的爱,爱要落在一个看得见的行动上,舍命｜爱｜行动,沿用现有选择区逻辑,我决定今天把爱落实在______,,已校准｜需最终经文逐字核验,保留原表经文；本轮完成语言与门训结构校准
27,4,周六,轻回顾,模块1｜认识基督,建立对基督、福音与身份的基本认识,跟随，就走近人,回顾本周：跟随，就走近人,诗23：1-6,今天是回顾的一天。读 诗篇 23:1-6，回头看这一周，特别整理：确认一个变化，也确定下一步。不要只问“我做得好不好”，而要问三件事：神让我看见什么？我实际做了什么？下一步要继续什么？把一个真实学习写下来，再把下一步写成下周可以执行的动作。,,回顾,回头看这一周,确认一个变化，也确定下一步,把这一周的发现带回生活,回顾｜本周变化｜下一步,根据本周选择生成总结,选定下一步,根据Day 1–6选择生成“一句方向＋一句鼓励”,已校准｜总结规则待程序实现,保留原表经文；本轮完成语言与门训结构校准
28,5,主日,主日信息入口,模块1｜认识基督,建立对基督、福音与身份的基本认识,背起十字架跟随祂,背起十字架跟随祂,路9：18-27,今天是新一周的起点。读 路加福音 9:18-27，先观察经文如何把我们带到“背起十字架跟随祂”。抓住“基督”进入本周。不要要求自己一次改变很多，只需要认出一个最真实的回应方向，并为接下来的六天留下一个可以反复操练的生活位置。,,进入,从主日信息进入本周,抓住“基督”进入本周,认识基督是谁，也认真回应跟随祂的代价。,基督｜舍己｜十字架,选定本周一个要活出来的方向,完成一个本周个人回应,根据Day 1–6选择生成“一句方向＋一句鼓励”,已校准｜需最终经文逐字核验,保留原表经文；本轮完成语言与门训结构校准
29,5,周一,拓宽眼界,模块1｜认识基督,建立对基督、福音与身份的基本认识,背起十字架跟随祂,周一默想,太16：13-20,今天不急着得到“正确答案”，而是练习观察。读 马太福音 16:13-20，留意“从彼得的认信看见跟随建立在认识基督之上”怎样显现在经文里，也怎样可能出现在你今天的生活中。选择一个固定场景停一分钟，看见自己真实的反应，并把它带到主面前。,,身份,先看见经文中的人和行动,从彼得的认信看见跟随建立在认识基督之上,先确认你所跟随的是谁,基督｜彼得｜认信,沿用现有选择区逻辑,我决定今天以______的身份回应主,,已校准｜需最终经文逐字核验,保留原表经文；本轮完成语言与门训结构校准
30,5,周二,深入省察,模块1｜认识基督,建立对基督、福音与身份的基本认识,背起十字架跟随祂,周二省察,路9：57-62,今天从外在经文转向内在生命。读 路加福音 9:57-62，诚实面对：从“不要思念人的事”看见自己的优先次序。不要先解释自己，也不要急着定罪自己。试着辨认这个反应背后更深的欲望、惧怕、骄傲或不信。省察不是自责，而是在神面前停止遮掩，愿意让主触碰真实的自己。,,省察,先看见自己的真实反应,从“不要思念人的事”看见自己的优先次序,辨认哪些想法正在影响跟随,舍己｜十字架｜跟从,沿用现有选择区逻辑,我决定今天放下______,,已校准｜需最终经文逐字核验,保留原表经文；本轮完成语言与门训结构校准
31,5,周三,生活应用,模块1｜认识基督,建立对基督、福音与身份的基本认识,背起十字架跟随祂,周三应用,可8：34-38,今天让“知道”变成“去做”。读 马可福音 8:34-38，思考“从背十字架进入一个真实的舍己选择”在你的现实处境中最小的下一步是什么。把行动限定在十分钟左右，越具体越好。做完后记下一句话：我做了什么？有什么阻力？主让我看见什么？,,舍己,先找一个今天能做的地方,从背十字架进入一个真实的舍己选择,选一个今天可以放下自己的地方,背十字架｜舍己｜福音,沿用现有选择区逻辑,我决定今天在______上舍己,,已校准｜需最终经文逐字核验,保留原表经文；本轮完成语言与门训结构校准
32,5,周四,关系实践,模块1｜认识基督,建立对基督、福音与身份的基本认识,背起十字架跟随祂,周四关系,约13：34-35,今天观察自己怎样对待别人，也让经文重新整理这种关系。读 约翰福音 13:34-35，围绕“从彼此相爱看见十字架进入关系”作一个具体决定。找一个人，主动走近一步；可以是一句话、一次倾听、一次帮助或一次代祷。真实关系中的小小顺服，就是门徒训练的一部分。,,服事,先放进一个真实关系,从彼此相爱看见十字架进入关系,把服事放在一个具体的人身上,彼此相爱｜命令｜门徒,沿用现有选择区逻辑,我决定今天主动服事______,,已校准｜需最终经文逐字核验,保留原表经文；本轮完成语言与门训结构校准
33,5,周五,行动承诺,模块1｜认识基督,建立对基督、福音与身份的基本认识,背起十字架跟随祂,周五行动,路14：25-33,今天来到回应与承担。读 路加福音 14:25-33，问自己：从作门徒的代价进入认真选择。把信仰从个人感受带向一个具体的人、一项责任或一个见证行动。不要追求被看见，只求忠心。完成之后写下发生了什么，让你自己的行动成为一个可以被回顾、也可以被分享的见证。,,计算,先确定今天要走的一步,从作门徒的代价进入认真选择,不冲动承诺，先数算再行动,门徒｜计算｜代价,沿用现有选择区逻辑,我决定今天认真决定______,,已校准｜需最终经文逐字核验,保留原表经文；本轮完成语言与门训结构校准
34,5,周六,轻回顾,模块1｜认识基督,建立对基督、福音与身份的基本认识,背起十字架跟随祂,回顾本周：背起十字架跟随祂,诗23：1-6,读 诗篇 23:1-6，安静回看这七天的经历：哪些地方有顺服，哪些地方仍在挣扎，哪里看见神的带领？特别思考“确认一个变化，也确定下一步”。今天把本周浓缩成“一个看见、一个行动、一个下一步”，让回顾成为继续跟随的桥梁。,,回顾,回头看这一周,确认一个变化，也确定下一步,把这一周的发现带回生活,回顾｜本周变化｜下一步,根据本周选择生成总结,选定下一步,根据Day 1–6选择生成“一句方向＋一句鼓励”,已校准｜总结规则待程序实现,保留原表经文；本轮完成语言与门训结构校准
35,6,主日,主日信息入口,模块1｜认识基督,建立对基督、福音与身份的基本认识,祂来到我们中间,祂来到我们中间,约1：1-14,今天把经文放在心里，也把自己放在经文面前。读 约翰福音 1:1-14，围绕“祂来到我们中间”安静片刻，思想：抓住“道”进入本周。主日不是结束，而是进入本周门训的起点。今天选定一个具体场景，提醒自己在这一周继续回来面对这个主题。,,进入,从主日信息进入本周,抓住“道”进入本周,基督来到我们中间，也把祂的生命带进我们的生活。,道｜肉身｜恩典,选定本周一个要活出来的方向,完成一个本周个人回应,根据Day 1–6选择生成“一句方向＋一句鼓励”,已校准｜需最终经文逐字核验,保留原表经文；本轮完成语言与门训结构校准
36,6,周一,拓宽眼界,模块1｜认识基督,建立对基督、福音与身份的基本认识,祂来到我们中间,周一默想,腓2：5-11,今天先学习看见。读 腓立比书 2:5-11，不要急着批评或解决问题，留意经文让你看见什么：从基督的虚己看见祂怎样主动降卑。再回到自己的生活，观察一个真实反应、选择或习惯。门徒不是先表现得正确，而是先在神的光中看清楚自己。把今天看见的一件事记下来，作为后面回应的起点。,,看见,先看见经文中的人和行动,从基督的虚己看见祂怎样主动降卑,让基督的心影响今天的姿态,虚己｜奴仆｜顺服,沿用现有选择区逻辑,我决定今天以______的心态生活,,已校准｜需最终经文逐字核验,保留原表经文；本轮完成语言与门训结构校准
37,6,周二,深入省察,模块1｜认识基督,建立对基督、福音与身份的基本认识,祂来到我们中间,周二省察,来4：14-16,今天给自己几分钟安静。读 希伯来书 4:14-16，把经文所揭开的张力带回心里：从能体恤软弱的大祭司进入坦然无惧。问自己，我在什么地方正在重复同样的模式？不必马上找到解决方案，只需要说真话，并用一句简单的祷告把这份真实交给主。,,亲近,先看见自己的真实反应,从能体恤软弱的大祭司进入坦然无惧,把真实软弱带到主面前,大祭司｜体恤｜施恩,沿用现有选择区逻辑,我决定今天放下______,,已校准｜需最终经文逐字核验,保留原表经文；本轮完成语言与门训结构校准
38,6,周三,生活应用,模块1｜认识基督,建立对基督、福音与身份的基本认识,祂来到我们中间,周三应用,约1：14-18,不要等到条件完美才回应经文。读 约翰福音 1:14-18，找出一个可以立即开始的动作，回应“从“道成了肉身”进入与人同行”。今天只走一步，但要真的走。行动之后，用一分钟回顾结果，让经验成为下一次跟随的依据。,,同行,先找一个今天能做的地方,从“道成了肉身”进入与人同行,在一个具体处境中陪伴人,道｜肉身｜恩典,沿用现有选择区逻辑,我决定今天在______上与人同行,,已校准｜需最终经文逐字核验,保留原表经文；本轮完成语言与门训结构校准
39,6,周四,关系实践,模块1｜认识基督,建立对基督、福音与身份的基本认识,祂来到我们中间,周四关系,太25：34-40,今天把跟随带进一个人的名字。读 马太福音 25:34-40，思想：从“在最小的弟兄中”看见服事主。想起一段真实关系，不停留在“我要更有爱心”的想法，而是决定一个看得见的动作：认真倾听、主动帮助、道歉、感谢、分享或代祷。让今天的经文通过你的关系被活出来。,,服事,先放进一个真实关系,从“在最小的弟兄中”看见服事主,把一个容易忽略的人放进今天,最小的｜弟兄｜服事,沿用现有选择区逻辑,我决定今天主动服事______,,已校准｜需最终经文逐字核验,保留原表经文；本轮完成语言与门训结构校准
40,6,周五,行动承诺,模块1｜认识基督,建立对基督、福音与身份的基本认识,祂来到我们中间,周五行动,约1：29-34,今天的重点不是再多懂一点，而是愿意承担一步。读 约翰福音 1:29-34，把“从施洗约翰的见证看见为基督指路”落实到现实生活。可以是一次服事、一次给予、一次修复关系、一次见证或一次责任。先忠心完成今天能做的，然后在神面前感谢祂的带领。,,见证,先确定今天要走的一步,从施洗约翰的见证看见为基督指路,今天少讲自己，多指向基督,看见｜羔羊｜见证,沿用现有选择区逻辑,我决定今天用______见证主,,已校准｜需最终经文逐字核验,保留原表经文；本轮完成语言与门训结构校准
41,6,周六,轻回顾,模块1｜认识基督,建立对基督、福音与身份的基本认识,祂来到我们中间,回顾本周：祂来到我们中间,诗23：1-6,回顾不是给自己打分，而是辨认神怎样工作。今天读 诗篇 23:1-6，整理你这一周在“确认一个变化，也确定下一步”上的经历。感谢已经发生的，也承认还没有改变的。最后写下一句本周总结，并确定一个可以带进下一周的小小行动。,,回顾,回头看这一周,确认一个变化，也确定下一步,把这一周的发现带回生活,回顾｜本周变化｜下一步,根据本周选择生成总结,选定下一步,根据Day 1–6选择生成“一句方向＋一句鼓励”,已校准｜总结规则待程序实现,保留原表经文；本轮完成语言与门训结构校准
